setting,rank,target_gene,attention_weight,evidence_category,evidence_source,evidence_context,cistrome_sample_id,geo_accession,cistrome_regulatory_potential_rank,cistrome_regulatory_potential_score,chip_atlas_tss_window_kb,chip_atlas_beta_tc6_average,chip_atlas_beta_tc6_positive_replicates,chip_atlas_beta_tc6_maximum,chip_atlas_significant_by_fig4g_calibration,paper_citation,paper_url,evidence_note
reference_umap2,15,MYT1L,0.1641065881740421,ChIP-seq database support,Published GRAVITY Figure 4g ChIP-seq label,Mouse beta cells; Cistrome sample 58557 / GSM1824088,58557.0,GSE70960; GSM1824088,420.0,1.294,5,198.071429,8.0,623.0,True,,,Color reproduced from the published Figure 4g PDX1 network; current database fields are retained for traceability.
reference_umap2,16,TNR,0.164032178683531,ChIP-seq database support,Published GRAVITY Figure 4g ChIP-seq label,Mouse beta cells; Cistrome sample 58557 / GSM1824088,58557.0,GSE70960; GSM1824088,472.0,1.247,5,,,,False,,,Color reproduced from the published Figure 4g PDX1 network; current database fields are retained for traceability.
reference_umap2,17,EMB,0.1507656932280551,No curated support,,,,,,,5,32.785714,2.0,239.0,True,,,Grey in the published Figure 4g PDX1 network; current database fields are retained for traceability.
reference_umap2,18,PYY,0.1503287874502579,Literature support,Published GRAVITY Figure 4g literature label,Mouse pancreatic beta-cell/developmental context,,,,,5,,,,False,"PYY insulin/glucagon-secretion literature, GRAVITY supplementary material",,Color reproduced from the published Figure 4g PDX1 network.
reference_umap2,19,IAPP,0.150006910971982,ChIP-seq database support,Published GRAVITY Figure 4g ChIP-seq label,Mouse beta cells; Cistrome sample 58557 / GSM1824088,58557.0,GSE70960; GSM1824088,50.0,1.942,5,268.428571,8.0,879.0,True,,,Color reproduced from the published Figure 4g PDX1 network; current database fields are retained for traceability.
reference_umap2,20,RPGRIP1,0.1394502709662248,No curated support,,,,,,,5,12.571429,1.0,176.0,False,,,Grey in the published Figure 4g PDX1 network; current database fields are retained for traceability.
reference_umap2,21,GSTT2,0.138903181867551,No curated support,,,,,,,5,,,,False,,,Grey in the published Figure 4g PDX1 network; current database fields are retained for traceability.
reference_umap2,22,NPAS3,0.1385478650151977,ChIP-seq database support,Published GRAVITY Figure 4g ChIP-seq label,Mouse beta cells; Cistrome sample 58557 / GSM1824088,58557.0,GSE70960; GSM1824088,101.0,1.747,5,,,,False,,,Color reproduced from the published Figure 4g PDX1 network; current database fields are retained for traceability.
reference_umap2,23,HABP2,0.1383201555047947,No curated support,,,,,,,5,,,,False,,,Grey in the published Figure 4g PDX1 network; current database fields are retained for traceability.
reference_umap2,24,GCNT2,0.1372872408473149,ChIP-seq database support,Published GRAVITY Figure 4g ChIP-seq label,,,,,,5,160.071429,7.0,658.0,True,,,Color reproduced from the published Figure 4g PDX1 network; current database fields are retained for traceability.
reference_umap2,25,PAX4,0.1365935900792252,ChIP-seq database support,Published GRAVITY Figure 4g ChIP-seq label,,,,,,5,207.857143,8.0,749.0,True,,,Color reproduced from the published Figure 4g PDX1 network; current database fields are retained for traceability.
